,Tool,API,Prompt,Type
108,,,Could you find a hotel with id 38945623 in EU market and in EUR currency?,3
109,,,"Can you tell me more about the hotel with id 89745634, using the GBP currency and the en-GB locale?",3
110,,hotels_prices,How much does it cost to stay at the hotel 218005414?,3
111,,,Can you tell me the price of hotel 218005414?,3
112,,,"I want to check-in on 2024-05-01, how much will it cost?",3
113,,,What's the price if I check-in on 2024-07-01?,3
114,,,"If I check-out on 2024-06-05, how much will I need to pay?",3
115,,,What would the price be if I check-out on 2024-11-15?,3
116,,,Can you tell me the prices of hotels? ,3
117,,,"I'm planning a trip, can you tell me the cost of stay? ",3
118,,,"I am planning to travel tomorrow, can you tell me how much it costs to stay at the hotel?",3
119,,,Can you provide some information on the cost of hotels?,3
120,,hotels_reviews,Are the reviews for hotel 218005414 good?,3
121,,,Can you show me hotel reviews?,3
122,,,What do other travelers say about this hotel?,3
123,,,Can you retrieve the guest feedback?,3
124,,,Do people recommend this accommodation?,3
125,,,I need to check some hotel reviews. ,3
126,,,Show me what guests are saying about this place.,3
127,,,Are there any recent comments about this hotel?,3
128,,,What's the guest rating for this stay?,3
129,,,Are there any reviews I can look at?,3
130,,hotels_similar_hotels,Can you show me similar hotels to Hotel XYZ?,3
131,,,What are the hotel options similar to Hotel ABC?,3
132,,,"I need a hotel on 2024-04-15, can you help?",3
133,,,I'm planning to stay in a hotel starting from 2024-05-22.,3
134,,,"I will check out on 2024-07-14, what are some similar hotels for my stay?",3
135,,,Which hotels are similar to this one if I want to check out on 2024-08-30?,3
136,,,Can you find hotels like Hotel XYZ for my stay starting on 2024-09-10?,3
137,,,What are some similar hotel options to Hotel ABC for check-in on 2024-10-05?,3
138,,,Can you show me hotels like Hotel XYZ if I want to check out on 2024-11-18?,3
139,,,What are my options for similar hotels to Hotel ABC with check out on 2024-12-15?,3
140,,hotels_nearby_map,Can you help me find hotels nearby with a latitude of 22.543061?,3
141,,,"Are there any hotels near where I currently am, with a latitude of 22.55?",3
142,,,Can you show me the hotels close to a location with a longitude of 114.057865?,3
143,,,I have the longitude of 114.01 – could you suggest any hotels in that area?,3
144,,,What are the nearby hotels for my trip?,3
145,,,Can you list some hotels close to me?,3
146,,,Where should I stay during my trip?,3
147,,,Could you help me find a hotel?,3
148,,,"I need a place to stay, can you show me some options?",3
149,,,Are there any hotels you can recommend?,3
