,fn,comb,instruction,explain,label,,,,,,,,,,,,,
14,comb2_group1.txt,"tourist_attraction/search
tourist_attraction/detail
tourist_attraction/photos
tourist_attraction/reviews","I am writing an article about hidden gems in Italy and need insider information on lesser-known attractions, including vivid images and testimonials from those who've visited.","- Use API-1 to find off-the-beaten-path attractions in Italy.
   - Use API-2 to get in-depth details for crafting an insightful article.
   - Use API-3 to obtain captivating images that depict these hidden gems.
   - Use API-4 to collect visitor testimonials for authentic insights into these lesser-known sites.",0,,,,,,,,,,,,,
15,comb2_group2.txt,"tourist_attraction/search
tourist_attraction/detail
tourist_attraction/photos
tourist_attraction/reviews","Plan an educational day out for a family interested in history in Rome, Italy.","Steps:
- Use API-1 to search for historical tourist attractions in Rome.
- Utilize API-2 to get detailed information about each identified historical site, focusing on those offering educational tours.
- Obtain imagery using API-3 to give the family a preview of the attractions.
- Check API-4 to review visitor feedback on the educational value of each site to ensure a quality experience for the family.",1,,,,,,,,,,,,,
16,comb2_group2.txt,"tourist_attraction/search
tourist_attraction/detail
tourist_attraction/photos
tourist_attraction/reviews","Create a photo-based travel diary for your recent trip to Paris, France.","Steps:
- Employ API-1 to list all tourist attractions you visited in Paris.
- Retrieve detailed descriptions of each site with API-2 to include informative captions in your diary.
- Use API-3 to gather high-quality photos of the Parisian attractions for the diary.
- Incorporate personal experiences by referencing API-4 for reviews you may have left or read that could add a personal touch to your diary entries.",0,,,,,,,,,,,,,
17,comb2_group2.txt,"tourist_attraction/search
tourist_attraction/detail
tourist_attraction/photos
tourist_attraction/reviews",Develop a weekend itinerary for a nature lover traveling to Yellowstone National Park.,"Steps:
- Search for natural landmarks within Yellowstone using API-1.
- Use API-2 to pull in-depth information about the park's geysers, hot springs, and wildlife to build an engaging and informative itinerary.
- Grab enticing photographs of the park's features with API-3 to visually enrich the itinerary.
- Review API-4 to find the best times to visit particular spots based on traveler recommendations and plan the itinerary around those times.",0,,,,,,,,,,,,,
18,comb2_group2.txt,"tourist_attraction/search
tourist_attraction/detail
tourist_attraction/photos
tourist_attraction/reviews",Compare top-rated museums in New York City for an art enthusiast's blog post.,"Steps:
- Execute a query with API-1 to find museums specializing in art in New York City.
- Collect exhaustive details about the art collections and exhibitions from each museum using API-2.
- Use API-3 to get compelling photographs representing the art and ambiance of the different museums.
- Gather and compare public impressions and critiques of the museums through API-4 to offer an objective comparison in the blog post.",1,,,,,,,,,,,,,
19,comb2_group2.txt,"tourist_attraction/search
tourist_attraction/detail
tourist_attraction/photos
tourist_attraction/reviews",Assist a traveler in deciding whether to visit the Grand Canyon in the offseason.,"Steps:
- Search for information about the Grand Canyon with API-1.
- Get a detailed overview of the attraction, including offseason specifics, using API-2.
- Acquire off-season photos of the Grand Canyon with API-3 to show the traveler what the experience might look like during that time.
- Access API-4 to read through reviews left by visitors who went during the offseason to provide personal anecdotes and tips for the traveler's decision-making process.",0,,,,,,,,,,,,,
20,comb2_group3.txt,"tourist_attraction/search
tourist_attraction/detail
tourist_attraction/photos
tourist_attraction/reviews","Develop a personalized travel itinerary for a history enthusiast planning a trip to Europe. I need a list of historical sites complete with descriptions, images, and visitor experiences.","- Use API-1 to search for historical tourist attractions across various European countries.
   - Employ API-2 to retrieve detailed information about each historical site found.
   - Utilize API-3 to collect high-quality photos for each location to be included in the itinerary.
   - Apply API-4 to gather recent reviews of these historical sites to understand current visitor sentiments and experiences.",1,,,,,,,,,,,,,
21,comb2_group3.txt,"tourist_attraction/search
tourist_attraction/detail
tourist_attraction/photos
tourist_attraction/reviews","Create a top 10 list of family-friendly attractions across the United States for an upcoming travel blog post, including vibrant photos and user feedback.","- Leverage API-1 to identify popular family-friendly tourist attractions in the United States.
   - Use API-2 to get detailed descriptions of each attraction to highlight their family-oriented facilities and activities.
   - Obtain a set of attractive images for each site with API-3 to visually enhance the blog post.
   - Collect and summarize reviews from API-4 to provide readers with a sense of what other families thought of the attractions.",1,,,,,,,,,,,,,
22,comb2_group3.txt,"tourist_attraction/search
tourist_attraction/detail
tourist_attraction/photos
tourist_attraction/reviews","Assemble a virtual tour guide of iconic landmarks in Japan, focusing on providing a cultural and historical context, complemented with visual and anecdotal content.","- Deploy API-1 to search for iconic landmarks in Japan that hold cultural and historical significance.
   - Fetch detailed cultural and historical information about each landmark through API-2.
   - Acquire a collection of stunning photographs of these landmarks using API-3 to create a visual walk-through.
   - Aggregate and feature insights from reviews using API-4 to include personal stories and tips from past visitors.",0,,,,,,,,,,,,,
23,comb2_group3.txt,"tourist_attraction/search
tourist_attraction/detail
tourist_attraction/photos
tourist_attraction/reviews","Provide an in-depth feature on the natural wonders of Brazil for an eco-tourism website, with emphasis on conservation status, visitor information, and photographic evidence of the attractions' beauty.","- Apply API-1 to find natural landmarks and wonders in Brazil that are significant for eco-tourists.
   - Retrieve comprehensive details about each site's conservation efforts and visitor information via API-2.
   - Use API-3 to curate an array of captivating photos showcasing the natural beauty of these destinations.
   - Use API-4 to source reviews that highlight the ecological importance of the attractions and visitor recommendations on sustainable practices.",0,,,,,,,,,,,,,
24,comb2_group3.txt,"tourist_attraction/search
tourist_attraction/detail
tourist_attraction/photos
tourist_attraction/reviews","Compile a dynamic list of must-see art museums around the world for an online culture and arts magazine, ensuring each entry includes a description, gallery snapshots, and firsthand visitor critiques.","- Utilize API-1 to identify reputed art museums globally that are revered in the art community.
   - Gather pertinent information about the museums' collections, history, and unique offerings through API-2.
   - Capture a selection of interior and exterior photos from API-3 to showcase the museums' architectural beauty and exhibits.
   - Integrate feedback and critiques via API-4 from art aficionados who've visited these museums to provide readers with qualitative insights.",1,,,,,,,,,,,,,
25,comb3_group1.txt,"skyscanner80/flights_search_one_way
skyscanner80/flights_search_roundtrip
skyscanner80/flights_search_everywhere
skyscanner80/flights_search_incomplete
skyscanner80/flights_flight_detail
skyscanner80/flights_price_calendar",Find the best flight options for a multi-city tour.,"- Use API 3 to find flights with uncertain destinations to build a potential list of cities to visit.
   - For each city pair, use API 1 and API 2 to compare the cost and schedule of one-way vs. round trip flights.
   - Utilize API 6 to view the price calendar for flights between each city on your multi-city list to identify the cheapest travel dates.",0,,,,,,,,,,,,,
26,comb3_group1.txt,"skyscanner80/flights_search_one_way
skyscanner80/flights_search_roundtrip
skyscanner80/flights_search_everywhere
skyscanner80/flights_search_incomplete
skyscanner80/flights_flight_detail
skyscanner80/flights_price_calendar",Organize a last-minute weekend getaway from New York to a surprise destination.,"- Employ API 3 to discover flights with uncertain destinations departing from New York for the upcoming weekend.
   - Use API 6 to check for the cheapest available flights for the next few days.
   - After selecting a destination, retrieve all the details of the flight using API 5 before making a booking.",1,,,,,,,,,,,,,
27,comb3_group1.txt,"skyscanner80/flights_search_one_way
skyscanner80/flights_search_roundtrip
skyscanner80/flights_search_everywhere
skyscanner80/flights_search_incomplete
skyscanner80/flights_flight_detail
skyscanner80/flights_price_calendar",Plan a honeymoon trip that involves multiple stopovers and compare prices for the most cost-effective options.,"- With API 3, explore flights to several romantic destinations with uncertain dates for flexibility.
   - Utilize API 1 to find the best one-way flights between the desired stopover cities.
   - Leverage API 6 to check the price calendar and determine the most economical dates for each leg of the trip.",1,,,,,,,,,,,,,
28,comb3_group1.txt,"skyscanner80/flights_search_one_way
skyscanner80/flights_search_roundtrip
skyscanner80/flights_search_everywhere
skyscanner80/flights_search_incomplete
skyscanner80/flights_flight_detail
skyscanner80/flights_price_calendar",Prepare a comparative analysis of flying out on a Friday vs. a Monday for a week-long international conference.,"- Utilize API 2 to find round trip flights departing on a Friday and returning the following Friday.
   - Repeat the search with the departure on a Monday and return on the next Monday.
   - Use API 6 to inspect the price calendar for price trends during these periods.
   - Finally, employ API 5 to get the details of the selected flights for a more comprehensive comparison.",0,,,,,,,,,,,,,
29,comb3_group1.txt,"skyscanner80/flights_search_one_way
skyscanner80/flights_search_roundtrip
skyscanner80/flights_search_everywhere
skyscanner80/flights_search_incomplete
skyscanner80/flights_flight_detail
skyscanner80/flights_price_calendar",Create a flexible travel itinerary for a month-long European backpacking adventure with open destinations.,"- Start with API 3 to explore flights to various potential starting points in Europe.
   - Use API 1 to find one-way flight options between cities on your backpacking route.
   - Employ API 6 to consult the price calendar for the cheapest travel dates between each destination on your itinerary.
   - As you travel and finalize your plans, continuously refer to API 5 for the details of your upcoming flights.

In each case, the tool's ability to search, compare, and provide real-time data of hotels and flights would be crucial in helping travelers make the best decisions for their itineraries, budgets, and travel preferences.",0,,,,,,,,,,,,,
30,comb3_group2.txt,"skyscanner80/flights_search_one_way
skyscanner80/flights_search_roundtrip
skyscanner80/flights_search_everywhere
skyscanner80/flights_search_incomplete
skyscanner80/flights_flight_detail
skyscanner80/flights_price_calendar","Determine the lowest fare for a one-way flight from New York to Paris on Oct.15th, considering only direct flights with morning departures.",,1,,,,,,,,,,,,,
31,comb3_group2.txt,"skyscanner80/flights_search_one_way
skyscanner80/flights_search_roundtrip
skyscanner80/flights_search_everywhere
skyscanner80/flights_search_incomplete
skyscanner80/flights_flight_detail
skyscanner80/flights_price_calendar","Compare prices for round-trip flights from Tokyo to London, leaving on Aug. 5th and returning on Aug. 19th, including one-stop flights. Organize the results by the shortest total travel time.",,1,,,,,,,,,,,,,
32,comb3_group2.txt,"skyscanner80/flights_search_one_way
skyscanner80/flights_search_roundtrip
skyscanner80/flights_search_everywhere
skyscanner80/flights_search_incomplete
skyscanner80/flights_flight_detail
skyscanner80/flights_price_calendar",Identify the best-priced flight options for a flexible traveler who wants to depart from San Francisco to an unspecified destination in Europe on July 10th. Focus on direct flights and compile a list of possible destinations based on the lowest fares available.,,1,,,,,,,,,,,,,
33,comb3_group2.txt,"skyscanner80/flights_search_one_way
skyscanner80/flights_search_roundtrip
skyscanner80/flights_search_everywhere
skyscanner80/flights_search_incomplete
skyscanner80/flights_flight_detail
skyscanner80/flights_price_calendar","Retrieve the flight details and price breakdown for a given itineraryId and token representing a previously searched round-trip from Dubai to Sydney, leaving on September 1st and returning on September 15th.",,0,,,,,,,,,,,,,
34,comb3_group2.txt,"skyscanner80/flights_search_one_way
skyscanner80/flights_search_roundtrip
skyscanner80/flights_search_everywhere
skyscanner80/flights_search_incomplete
skyscanner80/flights_flight_detail
skyscanner80/flights_price_calendar","Generate a flight price calendar for the month of August for flights from Los Angeles to Toronto. Include both one-way and round-trip flight options, and highlight the days with the cheapest available prices for both types of flights.",,0,,,,,,,,,,,,,
35,comb3_group3.txt,"skyscanner80/flights_search_one_way
skyscanner80/flights_search_roundtrip
skyscanner80/flights_search_everywhere
skyscanner80/flights_search_incomplete
skyscanner80/flights_flight_detail
skyscanner80/flights_price_calendar","Find the most cost-effective 10-day round trip from New York to Paris in September, including the cheapest days to fly out and return.","API Combination: Use API 2 to get the list of round trip flights for New York to Paris in September. Then, apply API 6 to return a calendar for the given source (New York) and destination (Paris) to identify the cheapest travel dates within the month.

2. **Flexible Date Adventure Trip**",1,,,,,,,,,,,,,
36,comb3_group3.txt,"skyscanner80/flights_search_one_way
skyscanner80/flights_search_roundtrip
skyscanner80/flights_search_everywhere
skyscanner80/flights_search_incomplete
skyscanner80/flights_flight_detail
skyscanner80/flights_price_calendar","I'm looking to explore a new destination from Los Angeles within the next three months, but I'm flexible about the location. Show me the best deals for one-way flights.","API Combination: Use API 3 to find flights with uncertain destinations from Los Angeles for the next three months. Then, apply API 1 to get a list of one-way flights to these destinations and find the best deals.

3. **Surprise Weekend Getaway**",1,,,,,,,,,,,,,
37,comb3_group3.txt,"skyscanner80/flights_search_one_way
skyscanner80/flights_search_roundtrip
skyscanner80/flights_search_everywhere
skyscanner80/flights_search_incomplete
skyscanner80/flights_flight_detail
skyscanner80/flights_price_calendar",Arrange a surprise round trip from Chicago for a weekend in April with flexibility in the destination to ensure the best price.,"API Combination: First, use API 3 to find potential surprise destinations from Chicago with available flights for weekends in April. Then use API 2 to get round trip flight options to these destinations, and API 6 to check the calendar for the most affordable weekend dates.

4. **Extended Stay Combination Trip**",0,,,,,,,,,,,,,
38,comb3_group3.txt,"skyscanner80/flights_search_one_way
skyscanner80/flights_search_roundtrip
skyscanner80/flights_search_everywhere
skyscanner80/flights_search_incomplete
skyscanner80/flights_flight_detail
skyscanner80/flights_price_calendar",I want to visit London and Paris over a 14-day period in July. Determine the cheapest sequence and dates to book these flights from Toronto.,"API Combination: Utilize API 3 to look for flights with uncertain destinations from Toronto, focusing on London and Paris. Use API 2 to identify round trip options and API 6 to find the calendar with cost-effective dates for July. Blend the data to decide the sequence (Toronto -> London -> Paris -> Toronto) and the specific dates offering the best prices.

5. **Last-Minute Travel Preparation**",1,,,,,,,,,,,,,
39,comb3_group3.txt,"skyscanner80/flights_search_one_way
skyscanner80/flights_search_roundtrip
skyscanner80/flights_search_everywhere
skyscanner80/flights_search_incomplete
skyscanner80/flights_flight_detail
skyscanner80/flights_price_calendar",I have an itinerary ID for a last-minute flight tomorrow from Seattle to Tokyo. Can you confirm all the flight details for me?,"API Combination: Use API 5 to get all the details of the flight based on the provided itinerary ID and token. Ensure that all the information, such as departure time, arrival time, and any layovers or stops, is accurate and up to date for last-minute preparations.

Note: The sequence in which the APIs are used may vary depending on the user requirements and constraints such as budget, flexibility on dates, or preference for destinations. The combination of the APIs allows for a variety of travel plans to be accommodated efficiently.",0,,,,,,,,,,,,,
40,comb4_group1.txt,"web_capture/take_image_screenshot
ocr_extract_text/extract_text_from_image_file",Collect a visual and text record of job listings on https://example-job-board.com for archival purposes. Capture images of each listing and extract the text content for easier searching and indexing.,1. **Archive Online Job Postings**,1,,,,,,,,,,,,,
41,comb4_group1.txt,"web_capture/take_image_screenshot
ocr_extract_text/extract_text_from_image_file","Monitor pricing updates for products on https://example-ecommerce.com/deals by taking daily screenshots of the deals page. Then, extract the text to keep a log of price changes over time.",2. **Monitor Price Changes on an E-commerce Site**,1,,,,,,,,,,,,,
42,comb4_group1.txt,"web_capture/take_image_screenshot
ocr_extract_text/extract_text_from_image_file","Create a digital text version of a restaurant's menu by taking a screenshot of the online menu at https://example-restaurant.com/menu. Then, extract the text to allow for parsing and analysis of menu items and prices.",3. **Digitize Printed Restaurant Menus**,0,,,,,,,,,,,,,
43,comb4_group1.txt,"web_capture/take_image_screenshot
ocr_extract_text/extract_text_from_image_file","Preserve event details listed on https://example-event-site.com/upcoming-events by capturing a screenshot of the webpage and subsequently extracting the text to maintain an accessible record of schedules, dates, and locations.",4. **Document Event Information from Websites**,0,,,,,,,,,,,,,
44,comb4_group1.txt,"web_capture/take_image_screenshot
ocr_extract_text/extract_text_from_image_file","Collect study resources from a tutorial website like https://example-education-site.com/resources by capturing screenshots of study guides and articles, and then extracting text to compile into a searchable document for reference and review.",5. **Gather Research Material from Educational Resources**,0,,,,,,,,,,,,,
45,comb4_group2.txt,"web_capture/take_image_screenshot
ocr_extract_text/extract_text_from_image_file",Create a visual summary of today's news from the New York Times homepage.,"Required APIs: web_capture/take_image_screenshot, ocr_extract_text/extract_text_from_image_file

1. Use the web_capture/take_image_screenshot API to take a screenshot of the New York Times homepage by providing the URL.
2. With the screenshot obtained, apply the ocr_extract_text/extract_text_from_image_file API to extract the headlines and any accompanying text.
3. Store the extracted text in a document as a summary.
4. Repeat this process daily to maintain a visual and text archive of daily news from the New York Times.
5. Optionally categorize the summaries by section (e.g., International, Politics, Technology).",0,,,,,,,,,,,,,
46,comb4_group2.txt,"web_capture/take_image_screenshot
ocr_extract_text/extract_text_from_image_file",Generate a searchable PDF from a restaurant's online menu.,"Required APIs: web_capture/take_image_screenshot, ocr_extract_text/extract_text_from_image_file

1. Capture a screenshot of the restaurant's online menu using the web_capture/take_image_screenshot API by providing the menu's URL.
2. Extract the text from the screenshot using ocr_extract_text/extract_text_from_image_file API.
3. Compile the extracted text into a PDF, maintaining the original formatting to the extent possible.
4. Ensure that the text in the PDF is selectable and searchable for easy navigation.
5. Save the PDF with an appropriate naming convention, such as 'RestaurantName_Menu_Date.pdf'.",0,,,,,,,,,,,,,
47,comb4_group2.txt,"web_capture/take_image_screenshot
ocr_extract_text/extract_text_from_image_file",Save a copy of today's best seller list from an online bookstore.,"Required APIs: web_capture/take_image_screenshot, ocr_extract_text/extract_text_from_image_file

1. Use the web_capture/take_image_screenshot API to take a screenshot of the best seller list page from the online bookstore by providing the URL.
2. Extract the list of book titles, authors, and rankings using the ocr_extract_text/extract_text_from_image_file API.
3. Save the extracted information in a text file or spreadsheet for personal archiving or analysis.
4. If desired, repeat this process regularly to track changes in the bestseller list over time.
5. For enhanced utility, create a database to input and query the data over time.",0,,,,,,,,,,,,,
48,comb4_group2.txt,"web_capture/take_image_screenshot
ocr_extract_text/extract_text_from_image_file",Document an online tutorial process for training purposes.,"Required APIs: web_capture/take_image_screenshot, ocr_extract_text/extract_text_from_image_file

1. Navigate through each step of the online tutorial and use web_capture/take_image_screenshot API to capture screenshots at key moments or instructions.
2. Apply ocr_extract_text/extract_text_from_image_file API to extract any instructional text from these screenshots.
3. Assemble the screenshots and text into a step-by-step instructional document.
4. Add annotations or additional explanations as needed for clarity in the training document.
5. Save and distribute the final document to relevant trainees or employees.",0,,,,,,,,,,,,,
49,comb4_group2.txt,"web_capture/take_image_screenshot
ocr_extract_text/extract_text_from_image_file",Archive a series of blog posts at https://lilianweng.github.io/(https://lilianweng.github.io/) for offline reading.,"Required APIs: web_capture/take_image_screenshot, ocr_extract_text/extract_text_from_image_file

1. Use the web_capture/take_image_screenshot API to capture screenshots of each blog post by navigating to their individual URLs.
2. Extract the textual content from each image using the ocr_extract_text/extract_text_from_image_file API.
3. Combine the text from all blog posts into a single document, preserving the order and titles.
4. Format the document for readability, and save it both as a text file and a PDF for offline access.
5. Organize the archived blog posts by date or topic in a folder structure for easy reference.",1,,,,,,,,,,,,,
50,comb5_group1.txt,"image_processing/compress_image
image_processing/resize_image
image_processing/convert_format
image_remove_bg/remove_bg","I need to prepare product images for an online catalog. The original files are at high-resolution in the folder `/high_res_images`. Each image should have its background removed, be resized to a width of 800 pixels while maintaining aspect ratio, and saved in JPEG format.",,1,,,,,,,,,,,,,
51,comb5_group1.txt,"image_processing/compress_image
image_processing/resize_image
image_processing/convert_format
image_remove_bg/remove_bg","For a presentation, I want to create thumbnails of team members' profile pictures. The profiles are located in `/team/profiles`. Each image should first have the background removed, then be resized to 100x100 pixels, and finally compressed to ensure that the file size is below 50 KB without worrying much about image quality loss.",,0,,,,,,,,,,,,,
52,comb5_group1.txt,"image_processing/compress_image
image_processing/resize_image
image_processing/convert_format
image_remove_bg/remove_bg",We need to archive our digital art collection. The images located at `/art_collection` need to be processed for long-term storage. Each image's background should be removed and then converted into a lossless PNG format to preserve quality. No change in image dimensions is necessary.,,1,,,,,,,,,,,,,
53,comb5_group1.txt,"image_processing/compress_image
image_processing/resize_image
image_processing/convert_format
image_remove_bg/remove_bg","I'm building a mobile app and need the app icons from `/app_icons/originals` optimized. Please remove the background from each icon, resize each to 256x256 pixels for high-resolution displays, and compress them while trying to maintain a decent quality to ensure the app remains lightweight for downloading.",,1,,,,,,,,,,,,,
54,comb5_group1.txt,"image_processing/compress_image
image_processing/resize_image
image_processing/convert_format
image_remove_bg/remove_bg","For email marketing, we need to adjust a set of promotional images in `/emails/promos`. These images should have their background removed to create a clean look. Then, to comply with email client limitations, they need to be resized to a maximum width of 600 pixels, maintaining the aspect ratio, and saved as smaller-size JPEG images to ensure quick loading times for recipients.",,0,,,,,,,,,,,,,
55,comb5_group2.txt,"image_processing/compress_image
image_processing/resize_image
image_processing/convert_format
image_remove_bg/remove_bg","""I have a set of product photos in a folder named 'inventory/photos'. I need to compress their sizes for faster loading on my e-commerce website, change their dimensions to fit the site's image placeholders, and convert them all to JPEG format.""","Combination of APIs:
1. Use the compress image size API to reduce the quality of each photo for a smaller file size.
2. Utilize the change image size API to resize each image according to the website's requirements.
3. Apply the convert image format API to switch all images to the JPEG format.",0,,,,,,,,,,,,,
56,comb5_group2.txt,"image_processing/compress_image
image_processing/resize_image
image_processing/convert_format
image_remove_bg/remove_bg","""We need to prepare images for a presentation. Take the images from 'presentation/slides', remove the backgrounds to highlight the subjects, resize them to 800px by 600px, and save the edited images as PNG files to retain transparency.""","Combination of APIs:
1. Apply the remove background API to each image to isolate the subjects.
2. Use the change image size API to adjust the resolution to 800px by 600px.
3. Implement the convert image format API to save the results in PNG format.",1,,,,,,,,,,,,,
