,source,tool_name,api_name,dependencies,comment,,,,,,,,,,,,
37,rapidapi,skyscanner80,hotels_prices,"rely on the results of 
rapidapi/skyscanner80/hotels_search",not for low-level instruction,,,,,,,,,,,,
38,rapidapi,skyscanner80,hotels_reviews,"rely on the results of 
rapidapi/skyscanner80/hotels_search",not for low-level instruction,,,,,,,,,,,,
39,rapidapi,skyscanner80,hotels_similar_hotels,"rely on the results of 
rapidapi/skyscanner80/hotels_search",not for low-level instruction,,,,,,,,,,,,
40,rapidapi,skyscanner80,hotels_nearby_map,,,,,,,,,,,,,,
41,rapidapi,currency_exchange,listquotes,,,,,,,,,,,,,,
42,rapidapi,currency_exchange,exchange,rapidapi/currency_exchange/listquotes,,,,,,,,,,,,,
43,rapidapi,geocoding_by_api_ninjas,v1_geocoding,,,,,,,,,,,,,,
44,rapidapi,geocoding_by_api_ninjas,v1_reversegeocoding,,,,,,,,,,,,,,
45,rapidapi,airports,query_airports_by_name,,,,,,,,,,,,,,
46,rapidapi,airports,get_airport_by_iata_code,,,,,,,,,,,,,,
47,rapidapi,airports,get_airport_by_icao_code,,,,,,,,,,,,,,
48,rapidapi,list_of_all_countries_and_languages_with_their_codes,list_of_all_countries,,,,,,,,,,,,,,
49,rapidapi,list_of_all_countries_and_languages_with_their_codes,list_of_all_languages,,,,,,,,,,,,,,
50,rapidapi,tourist_attraction,currencies,,not for user,,,,,,,,,,,,
51,rapidapi,tourist_attraction,languages,,not for user,,,,,,,,,,,,
52,rapidapi,tourist_attraction,typeahead,,not for user,,,,,,,,,,,,
53,rapidapi,tourist_attraction,search,"rapidapi/tourist_attraction/currencies
rapidapi/tourist_attraction/languages
rapidapi/tourist_attraction/typeahead",,,,,,,,,,,,,
54,rapidapi,tourist_attraction,detail,"rely on the results of 
rapidapi/tourist_attraction/search",not for low-level instruction,,,,,,,,,,,,
55,rapidapi,tourist_attraction,photos,"rely on the results of 
rapidapi/tourist_attraction/search",not for low-level instruction,,,,,,,,,,,,
56,rapidapi,tourist_attraction,reviews,"rely on the results of 
rapidapi/tourist_attraction/search",not for low-level instruction,,,,,,,,,,,,
57,rapidapi,world_time_by_api_ninjas,v1_worldtime,,,,,,,,,,,,,,
58,rapidapi,google_translate,detect,,,,,,,,,,,,,,
59,rapidapi,google_translate,languages,,not for user,,,,,,,,,,,,
60,rapidapi,google_translate,translate,rapidapi/google_translate/languages,,,,,,,,,,,,,
61,rapidapi,ip_geo_location,visitor_lookup,,dangerous to use,,,,,,,,,,,,
62,rapidapi,ip_geo_location,ip_lookup,,,,,,,,,,,,,,
63,dev_tools,calculator,calculate,,,,,,,,,,,,,,
64,dev_tools,access_user_info,get_user_profile,,,,,,,,,,,,,,
65,dev_tools,agent_equipments,get_current_time,,,,,,,,,,,,,,
66,dev_tools,agent_equipments,get_my_location,,not for user,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
