,did,tool_name,api_name,simi_apis,instruction,type,label,explain
21,41,airports,get_airport_by_iata_code,"airports##get_airport_by_icao_code
airports##query_airports_by_name
skyscanner80##flights_auto_complete
skyscanner80##flights_flight_detail
skyscanner80##hotels_hotel_auto_complete","Can you please tell me the ICAO code of airport with IATA code ""PEK""?",2,1,
22,42,airports,get_airport_by_iata_code,"airports##get_airport_by_icao_code
airports##query_airports_by_name
skyscanner80##flights_auto_complete
skyscanner80##flights_flight_detail
skyscanner80##hotels_hotel_auto_complete","What's the local time at the airport with IATA code ""JFK""?",2,1,
23,43,airports,get_airport_by_iata_code,"airports##get_airport_by_icao_code
airports##query_airports_by_name
skyscanner80##flights_auto_complete
skyscanner80##flights_flight_detail
skyscanner80##hotels_hotel_auto_complete","Could you provide information on the airport with IATA code ""LAX""?",2,1,
24,44,airports,get_airport_by_iata_code,"airports##get_airport_by_icao_code
airports##query_airports_by_name
skyscanner80##flights_auto_complete
skyscanner80##flights_flight_detail
skyscanner80##hotels_hotel_auto_complete","What is the name of the airport with IATA code ""DXB""?",2,1,
25,45,airports,get_airport_by_iata_code,"airports##get_airport_by_icao_code
airports##query_airports_by_name
skyscanner80##flights_auto_complete
skyscanner80##flights_flight_detail
skyscanner80##hotels_hotel_auto_complete","Can you give me the details of the airport with IATA code ""HND""?",2,1,
26,46,airports,get_airport_by_iata_code,"airports##get_airport_by_icao_code
airports##query_airports_by_name
skyscanner80##flights_auto_complete
skyscanner80##flights_flight_detail
skyscanner80##hotels_hotel_auto_complete","What city is the airport with IATA code ""AMS"" located in?",2,1,
27,47,airports,get_airport_by_iata_code,"airports##get_airport_by_icao_code
airports##query_airports_by_name
skyscanner80##flights_auto_complete
skyscanner80##flights_flight_detail
skyscanner80##hotels_hotel_auto_complete","What timezone does the airport with IATA code ""SFO"" belong to?",2,1,
28,48,airports,get_airport_by_iata_code,"airports##get_airport_by_icao_code
airports##query_airports_by_name
skyscanner80##flights_auto_complete
skyscanner80##flights_flight_detail
skyscanner80##hotels_hotel_auto_complete","What country is the airport with IATA code ""SYD"" in?",2,1,
29,49,airports,get_airport_by_iata_code,"airports##get_airport_by_icao_code
airports##query_airports_by_name
skyscanner80##flights_auto_complete
skyscanner80##flights_flight_detail
skyscanner80##hotels_hotel_auto_complete","Can you provide me the address of the airport with IATA code ""YYZ""?",2,1,
30,50,airports,get_airport_by_icao_code,"airports##get_airport_by_iata_code
airports##query_airports_by_name
skyscanner80##flights_auto_complete
skyscanner80##flights_flight_detail
skyscanner80##get_config","Can you find the location and local time of the airport with ICAO code ""ZGSZ""?",2,1,
31,51,airports,get_airport_by_icao_code,"airports##get_airport_by_iata_code
airports##query_airports_by_name
skyscanner80##flights_auto_complete
skyscanner80##flights_flight_detail
skyscanner80##get_config","What is the information of the airport with ICAO code ""VHHH""?",2,1,
32,52,airports,get_airport_by_icao_code,"airports##get_airport_by_iata_code
airports##query_airports_by_name
skyscanner80##flights_auto_complete
skyscanner80##flights_flight_detail
skyscanner80##get_config","I want to know the details of the airport with the ICAO code ""OMDB"".",2,1,
33,53,airports,get_airport_by_icao_code,"airports##get_airport_by_iata_code
airports##query_airports_by_name
skyscanner80##flights_auto_complete
skyscanner80##flights_flight_detail
skyscanner80##get_config","Tell me about the airport with ICAO code ""EGLL"" - its location and current local time.",2,1,
34,54,airports,get_airport_by_icao_code,"airports##get_airport_by_iata_code
airports##query_airports_by_name
skyscanner80##flights_auto_complete
skyscanner80##flights_flight_detail
skyscanner80##get_config","What can you tell me about the airport with ICAO code ""KLAX""?",2,1,
35,55,airports,get_airport_by_icao_code,"airports##get_airport_by_iata_code
airports##query_airports_by_name
skyscanner80##flights_auto_complete
skyscanner80##flights_flight_detail
skyscanner80##get_config","Find me the location and local time of the airport with ICAO code ""RJTT"".",2,1,
36,56,airports,get_airport_by_icao_code,"airports##get_airport_by_iata_code
airports##query_airports_by_name
skyscanner80##flights_auto_complete
skyscanner80##flights_flight_detail
skyscanner80##get_config","Give me the information on the airport with the ICAO code ""SCEL"".",2,1,
37,57,airports,get_airport_by_icao_code,"airports##get_airport_by_iata_code
airports##query_airports_by_name
skyscanner80##flights_auto_complete
skyscanner80##flights_flight_detail
skyscanner80##get_config","Can you provide details about the airport with ICAO code ""LFPG""?",2,1,
38,58,airports,get_airport_by_icao_code,"airports##get_airport_by_iata_code
airports##query_airports_by_name
skyscanner80##flights_auto_complete
skyscanner80##flights_flight_detail
skyscanner80##get_config","I'd like to know more about the airport with the ICAO code ""YSSY"".",2,1,
39,59,airports,get_airport_by_icao_code,"airports##get_airport_by_iata_code
airports##query_airports_by_name
skyscanner80##flights_auto_complete
skyscanner80##flights_flight_detail
skyscanner80##get_config","What is the location and local time of the airport with ICAO code ""CYYZ""?",2,1,
40,60,bing,web_search,"bing_search_apis##images_search
tourist_attraction##search
news_api##search
airports##query_airports_by_name
list_of_all_countries_and_languages_with_their_codes##list_of_all_languages",Can you find some Chinese websites about NBA?,2,1,
41,61,bing,web_search,"bing_search_apis##images_search
tourist_attraction##search
news_api##search
airports##query_airports_by_name
list_of_all_countries_and_languages_with_their_codes##list_of_all_languages",I need top 5 articles about covid-19 vaccine in English.,2,1,
42,62,bing,web_search,"bing_search_apis##images_search
tourist_attraction##search
news_api##search
airports##query_airports_by_name
list_of_all_countries_and_languages_with_their_codes##list_of_all_languages",Could you locate recent articles about artificial intelligence development in Chinese?,2,1,
43,63,bing,web_search,"bing_search_apis##images_search
tourist_attraction##search
news_api##search
airports##query_airports_by_name
list_of_all_countries_and_languages_with_their_codes##list_of_all_languages",Are there any articles related to the 2024 US presidential election?,2,1,
44,64,bing,web_search,"bing_search_apis##images_search
tourist_attraction##search
news_api##search
airports##query_airports_by_name
list_of_all_countries_and_languages_with_their_codes##list_of_all_languages",Can you provide some research papers on Quantum Computing accessible on internet?,2,1,
45,65,bing,web_search,"bing_search_apis##images_search
tourist_attraction##search
news_api##search
airports##query_airports_by_name
list_of_all_countries_and_languages_with_their_codes##list_of_all_languages",Could you find resources about learning Mandarin online for beginners in Spanish?,2,1,
46,66,bing,web_search,"bing_search_apis##images_search
tourist_attraction##search
news_api##search
airports##query_airports_by_name
list_of_all_countries_and_languages_with_their_codes##list_of_all_languages",Are there any information about the cats commonly found in China available online in Chinese?,2,1,
47,67,bing,web_search,"bing_search_apis##images_search
tourist_attraction##search
news_api##search
airports##query_airports_by_name
list_of_all_countries_and_languages_with_their_codes##list_of_all_languages","I'd like to get a list of English blog articles about vegetarian recipes, can you find it?",2,1,
48,68,bing,web_search,"bing_search_apis##images_search
tourist_attraction##search
news_api##search
airports##query_airports_by_name
list_of_all_countries_and_languages_with_their_codes##list_of_all_languages",Can you find some popular online forums about game development in English?,2,1,
49,69,bing,web_search,"bing_search_apis##images_search
tourist_attraction##search
news_api##search
airports##query_airports_by_name
list_of_all_countries_and_languages_with_their_codes##list_of_all_languages",Could you find online resources teaching Italian cooking techniques in Italian?,2,1,
50,70,bing_search_apis,images_search,"bing##web_search
objects_detection##objects_detection
tourist_attraction##photos
google_api##video_search
news_api##search",Can you show me some images of the Shenzhen skyline?,2,1,
51,72,bing_search_apis,images_search,"bing##web_search
objects_detection##objects_detection
tourist_attraction##photos
google_api##video_search
news_api##search",Can you find some images of famous Chinese celebrities?,2,1,
52,74,bing_search_apis,images_search,"bing##web_search
objects_detection##objects_detection
tourist_attraction##photos
google_api##video_search
news_api##search",Can you find some images of Chinese traditional architecture?,2,1,
53,75,bing_search_apis,images_search,"bing##web_search
objects_detection##objects_detection
tourist_attraction##photos
google_api##video_search
news_api##search",I'm looking for pictures of popular street food in Shenzhen.,2,1,
54,76,bing_search_apis,images_search,"bing##web_search
objects_detection##objects_detection
tourist_attraction##photos
google_api##video_search
news_api##search",Can you show me images of traditional Chinese clothing and fashion?,2,1,
55,77,bing_search_apis,images_search,"bing##web_search
objects_detection##objects_detection
tourist_attraction##photos
google_api##video_search
news_api##search",Can you find some images of the top 10 tallest buildings in the world?,2,1,
56,78,bing_search_apis,images_search,"bing##web_search
objects_detection##objects_detection
tourist_attraction##photos
google_api##video_search
news_api##search",I'd like to see pictures of luxury hotels and resorts in Hainan.,2,1,
57,79,bing_search_apis,images_search,"bing##web_search
objects_detection##objects_detection
tourist_attraction##photos
google_api##video_search
news_api##search","Can you find me images of animals native to China, such as pandas and golden monkeys?",2,1,
58,80,calculator,calculate,"onecompiler_apis##execute_code
weatherapi_com##search_autocomplete_api
weatherapi_com##astronomy_api
weatherapi_com##forecast_weather_api
weatherapi_com##time_zone_api",Can you help me calculate the result of 2 + 3 * 4?,2,1,
59,81,calculator,calculate,"onecompiler_apis##execute_code
weatherapi_com##search_autocomplete_api
weatherapi_com##astronomy_api
weatherapi_com##forecast_weather_api
weatherapi_com##time_zone_api",What is the value of the expression (5 - 2) * (3 + 1)?,2,1,
60,82,calculator,calculate,"onecompiler_apis##execute_code
weatherapi_com##search_autocomplete_api
weatherapi_com##astronomy_api
weatherapi_com##forecast_weather_api
weatherapi_com##time_zone_api",Can you find the result of 100 / (10 - 5) * 2?,2,1,
61,83,calculator,calculate,"onecompiler_apis##execute_code
weatherapi_com##search_autocomplete_api
weatherapi_com##astronomy_api
weatherapi_com##forecast_weather_api
weatherapi_com##time_zone_api",What is the result of ((3 + 7) * 5) - 2?,2,1,
62,84,calculator,calculate,"onecompiler_apis##execute_code
weatherapi_com##search_autocomplete_api
weatherapi_com##astronomy_api
weatherapi_com##forecast_weather_api
weatherapi_com##time_zone_api",Calculate the value of this math problem: 20 * (4 + 1) - 10?,2,1,
63,85,calculator,calculate,"onecompiler_apis##execute_code
weatherapi_com##search_autocomplete_api
weatherapi_com##astronomy_api
weatherapi_com##forecast_weather_api
weatherapi_com##time_zone_api",Please solve the following expression: (15 - 10) * (6 / 2) + 5,2,1,
64,86,calculator,calculate,"onecompiler_apis##execute_code
weatherapi_com##search_autocomplete_api
weatherapi_com##astronomy_api
weatherapi_com##forecast_weather_api
weatherapi_com##time_zone_api",Can you calculate this formula for me: (9 + 3) / 4 * 8?,2,1,
65,87,calculator,calculate,"onecompiler_apis##execute_code
weatherapi_com##search_autocomplete_api
weatherapi_com##astronomy_api
weatherapi_com##forecast_weather_api
weatherapi_com##time_zone_api",What is the result of (12*2) / (6*1) + 7?,2,1,
66,88,calculator,calculate,"onecompiler_apis##execute_code
weatherapi_com##search_autocomplete_api
weatherapi_com##astronomy_api
weatherapi_com##forecast_weather_api
weatherapi_com##time_zone_api",Could you please calculate the expression (25 + 35) / (3 * 5) - 4?,2,1,
67,89,calculator,calculate,"onecompiler_apis##execute_code
weatherapi_com##search_autocomplete_api
weatherapi_com##astronomy_api
weatherapi_com##forecast_weather_api
weatherapi_com##time_zone_api",Can you tell me the result of this math problem: 18 - (3 * 6) / 2?,2,1,
68,90,calendar,days_of_month,"calendar##display_calendar_of_month
public_holiday##public_holidays
skyscanner80##flights_price_calendar
agent_equipments##get_current_time
skyscanner80##hotels_search",Can you show me the calendar for May 2024?,2,1,
69,91,calendar,days_of_month,"calendar##display_calendar_of_month
public_holiday##public_holidays
skyscanner80##flights_price_calendar
agent_equipments##get_current_time
skyscanner80##hotels_search",I'd like to see the calendar for December 2023.,2,1,
70,92,calendar,days_of_month,"calendar##display_calendar_of_month
public_holiday##public_holidays
skyscanner80##flights_price_calendar
agent_equipments##get_current_time
skyscanner80##hotels_search",What day of the week does the 9th of July 2024 fall on?,2,1,
71,93,calendar,days_of_month,"calendar##display_calendar_of_month
public_holiday##public_holidays
skyscanner80##flights_price_calendar
agent_equipments##get_current_time
skyscanner80##hotels_search",Can you tell me which day of the week the first day of April 2024 is?,2,1,
72,94,calendar,days_of_month,"calendar##display_calendar_of_month
public_holiday##public_holidays
skyscanner80##flights_price_calendar
agent_equipments##get_current_time
skyscanner80##hotels_search",I need to see the calendar days for March 2024.,2,1,
73,95,calendar,days_of_month,"calendar##display_calendar_of_month
public_holiday##public_holidays
skyscanner80##flights_price_calendar
agent_equipments##get_current_time
skyscanner80##hotels_search",What are the days and their weekdays in September 2024?,2,1,
74,96,calendar,days_of_month,"calendar##display_calendar_of_month
public_holiday##public_holidays
skyscanner80##flights_price_calendar
agent_equipments##get_current_time
skyscanner80##hotels_search",Can I have a look at the calendar for June 2024?,2,1,
75,97,calendar,days_of_month,"calendar##display_calendar_of_month
public_holiday##public_holidays
skyscanner80##flights_price_calendar
agent_equipments##get_current_time
skyscanner80##hotels_search",What day of the week is the 30th of November 2024?,2,1,
76,99,calendar,days_of_month,"calendar##display_calendar_of_month
public_holiday##public_holidays
skyscanner80##flights_price_calendar
agent_equipments##get_current_time
skyscanner80##hotels_search",I'd like to know the day of the week for the 15th of October 2024.,2,1,
77,100,calendar,display_calendar_of_month,"calendar##days_of_month
public_holiday##public_holidays
skyscanner80##flights_price_calendar
skyscanner80##hotels_prices
skyscanner80##hotels_search",Can you show me the calendar for April 2024?,2,1,
78,101,calendar,display_calendar_of_month,"calendar##days_of_month
public_holiday##public_holidays
skyscanner80##flights_price_calendar
skyscanner80##hotels_prices
skyscanner80##hotels_search","What does the calendar look like for the next month, April 2024?",2,1,
79,102,calendar,display_calendar_of_month,"calendar##days_of_month
public_holiday##public_holidays
skyscanner80##flights_price_calendar
skyscanner80##hotels_prices
skyscanner80##hotels_search",I need to see the calendar for May 2024.,2,1,
80,103,calendar,display_calendar_of_month,"calendar##days_of_month
public_holiday##public_holidays
skyscanner80##flights_price_calendar
skyscanner80##hotels_prices
skyscanner80##hotels_search",Can you display the calendar for October 2023?,2,1,
81,104,calendar,display_calendar_of_month,"calendar##days_of_month
public_holiday##public_holidays
skyscanner80##flights_price_calendar
skyscanner80##hotels_prices
skyscanner80##hotels_search",Let me see the calendar of June 2025.,2,1,
82,105,calendar,display_calendar_of_month,"calendar##days_of_month
public_holiday##public_holidays
skyscanner80##flights_price_calendar
skyscanner80##hotels_prices
skyscanner80##hotels_search",What's the calendar for January 2024?,2,1,
83,106,calendar,display_calendar_of_month,"calendar##days_of_month
public_holiday##public_holidays
skyscanner80##flights_price_calendar
skyscanner80##hotels_prices
skyscanner80##hotels_search","Show me the calendar of the current month, March 2024.",2,1,
84,107,calendar,display_calendar_of_month,"calendar##days_of_month
public_holiday##public_holidays
skyscanner80##flights_price_calendar
skyscanner80##hotels_prices
skyscanner80##hotels_search",Please display the calendar of August 2024.,2,1,
85,108,calendar,display_calendar_of_month,"calendar##days_of_month
public_holiday##public_holidays
skyscanner80##flights_price_calendar
skyscanner80##hotels_prices
skyscanner80##hotels_search",I want to check the calendar for December 2023.,2,1,
86,109,calendar,display_calendar_of_month,"calendar##days_of_month
public_holiday##public_holidays
skyscanner80##flights_price_calendar
skyscanner80##hotels_prices
skyscanner80##hotels_search",Can you present the calendar for September 2025?,2,1,
87,120,currency_exchange,exchange,"currency_exchange##listquotes
tourist_attraction##currencies
tourist_attraction##detail
skyscanner80##hotels_hotel_detail
skyscanner80##hotels_prices",What's the equivalent amount in Japanese Yen for 1000 Chinese Yuan?,2,1,
88,121,currency_exchange,exchange,"currency_exchange##listquotes
tourist_attraction##currencies
tourist_attraction##detail
skyscanner80##hotels_hotel_detail
skyscanner80##hotels_prices","If I have 200 Euros, how much will it be in Canadian dollars?",2,1,
89,122,currency_exchange,exchange,"currency_exchange##listquotes
tourist_attraction##currencies
tourist_attraction##detail
skyscanner80##hotels_hotel_detail
skyscanner80##hotels_prices",Can you tell me how many Australian dollars I will get for 50 United States dollars?,2,1,
90,123,currency_exchange,exchange,"currency_exchange##listquotes
tourist_attraction##currencies
tourist_attraction##detail
skyscanner80##hotels_hotel_detail
skyscanner80##hotels_prices","I want to know, how much British Pounds can I get for 5000 Indian Rupees?",2,1,
91,124,currency_exchange,exchange,"currency_exchange##listquotes
tourist_attraction##currencies
tourist_attraction##detail
skyscanner80##hotels_hotel_detail
skyscanner80##hotels_prices",How much Swiss Franc will I get for 15000 Korean Won?,2,1,
92,125,currency_exchange,exchange,"currency_exchange##listquotes
tourist_attraction##currencies
tourist_attraction##detail
skyscanner80##hotels_hotel_detail
skyscanner80##hotels_prices","I have 750 Brazilian real, what will be its equivalent in Russian Ruble?",2,1,
93,126,currency_exchange,exchange,"currency_exchange##listquotes
tourist_attraction##currencies
tourist_attraction##detail
skyscanner80##hotels_hotel_detail
skyscanner80##hotels_prices",What's the current exchange rate from Chinese Yuan to United States Dollars?,2,1,
94,127,currency_exchange,exchange,"currency_exchange##listquotes
tourist_attraction##currencies
tourist_attraction##detail
skyscanner80##hotels_hotel_detail
skyscanner80##hotels_prices",How much Thai Baht can I get for 250 Singapore Dollar?,2,1,
95,128,currency_exchange,exchange,"currency_exchange##listquotes
tourist_attraction##currencies
tourist_attraction##detail
skyscanner80##hotels_hotel_detail
skyscanner80##hotels_prices",Can you tell me the conversion from South African Rand to Mexican Peso for 500 units?,2,1,
96,129,currency_exchange,exchange,"currency_exchange##listquotes
tourist_attraction##currencies
tourist_attraction##detail
skyscanner80##hotels_hotel_detail
skyscanner80##hotels_prices",What will be the equivalent amount in New Zealand Dollar for 4000 Hong Kong Dollar?,2,1,
97,130,geocoding_by_api_ninjas,v1_geocoding,"geocoding_by_api_ninjas##v1_reversegeocoding
weatherapi_com##ip_lookup_api
ip_geo_location##ip_lookup
ip_geo_location##visitor_lookup
list_of_all_countries_and_languages_with_their_codes##list_of_all_countries","Can you provide the latitude and longitude of New York City, United States?",2,1,
98,131,geocoding_by_api_ninjas,v1_geocoding,"geocoding_by_api_ninjas##v1_reversegeocoding
weatherapi_com##ip_lookup_api
ip_geo_location##ip_lookup
ip_geo_location##visitor_lookup
list_of_all_countries_and_languages_with_their_codes##list_of_all_countries","I need to find the coordinates for Tokyo, Japan. Can you give me that information?",2,1,
99,132,geocoding_by_api_ninjas,v1_geocoding,"geocoding_by_api_ninjas##v1_reversegeocoding
weatherapi_com##ip_lookup_api
ip_geo_location##ip_lookup
ip_geo_location##visitor_lookup
list_of_all_countries_and_languages_with_their_codes##list_of_all_countries","Can I know the exact latitude and longitude for Beijing, China?",2,1,
100,133,geocoding_by_api_ninjas,v1_geocoding,"geocoding_by_api_ninjas##v1_reversegeocoding
weatherapi_com##ip_lookup_api
ip_geo_location##ip_lookup
ip_geo_location##visitor_lookup
list_of_all_countries_and_languages_with_their_codes##list_of_all_countries","I am trying to pinpoint Los Angeles, California on a map, could you provide me with the exact coordinates?",2,1,
101,134,geocoding_by_api_ninjas,v1_geocoding,"geocoding_by_api_ninjas##v1_reversegeocoding
weatherapi_com##ip_lookup_api
ip_geo_location##ip_lookup
ip_geo_location##visitor_lookup
list_of_all_countries_and_languages_with_their_codes##list_of_all_countries","I'd like to know the geographical coordinates for Sydney, Australia. Can you help me with that?",2,1,
102,135,geocoding_by_api_ninjas,v1_geocoding,"geocoding_by_api_ninjas##v1_reversegeocoding
weatherapi_com##ip_lookup_api
ip_geo_location##ip_lookup
ip_geo_location##visitor_lookup
list_of_all_countries_and_languages_with_their_codes##list_of_all_countries","Can you give me the latitude and longitude for Berlin, Germany?",2,1,
103,136,geocoding_by_api_ninjas,v1_geocoding,"geocoding_by_api_ninjas##v1_reversegeocoding
weatherapi_com##ip_lookup_api
ip_geo_location##ip_lookup
ip_geo_location##visitor_lookup
list_of_all_countries_and_languages_with_their_codes##list_of_all_countries","Could you provide the exact coordinates for Paris, France?",2,1,
104,137,geocoding_by_api_ninjas,v1_geocoding,"geocoding_by_api_ninjas##v1_reversegeocoding
weatherapi_com##ip_lookup_api
ip_geo_location##ip_lookup
ip_geo_location##visitor_lookup
list_of_all_countries_and_languages_with_their_codes##list_of_all_countries","I'm planning a trip to Dubai in United Arab Emirates, could you tell me what its latitude and longitude are?",2,1,
105,138,geocoding_by_api_ninjas,v1_geocoding,"geocoding_by_api_ninjas##v1_reversegeocoding
weatherapi_com##ip_lookup_api
ip_geo_location##ip_lookup
ip_geo_location##visitor_lookup
list_of_all_countries_and_languages_with_their_codes##list_of_all_countries","I am trying to locate Moscow, Russia on my global map, could you provide its coordinates?",2,1,
106,139,geocoding_by_api_ninjas,v1_geocoding,"geocoding_by_api_ninjas##v1_reversegeocoding
weatherapi_com##ip_lookup_api
ip_geo_location##ip_lookup
ip_geo_location##visitor_lookup
list_of_all_countries_and_languages_with_their_codes##list_of_all_countries","I am looking for the exact location for Madrid, Spain on the map. Can you provide the latitude and longitude?",2,1,
107,140,geocoding_by_api_ninjas,v1_reversegeocoding,"geocoding_by_api_ninjas##v1_geocoding
weatherapi_com##realtime_weather_api
world_time_by_api_ninjas##v1_worldtime
ip_geo_location##ip_lookup
weatherapi_com##forecast_weather_api",What city is located at latitude 22.5429 and longitude 114.0595?,2,1,
108,141,geocoding_by_api_ninjas,v1_reversegeocoding,"geocoding_by_api_ninjas##v1_geocoding
weatherapi_com##realtime_weather_api
world_time_by_api_ninjas##v1_worldtime
ip_geo_location##ip_lookup
weatherapi_com##forecast_weather_api",Can you tell me the name of the city with latitude 30.0339 and longitude 31.2195?,2,1,
109,142,geocoding_by_api_ninjas,v1_reversegeocoding,"geocoding_by_api_ninjas##v1_geocoding
weatherapi_com##realtime_weather_api
world_time_by_api_ninjas##v1_worldtime
ip_geo_location##ip_lookup
weatherapi_com##forecast_weather_api",What is the name of the place at latitude 51.5072 and longitude -0.1276?,2,1,
110,143,geocoding_by_api_ninjas,v1_reversegeocoding,"geocoding_by_api_ninjas##v1_geocoding
weatherapi_com##realtime_weather_api
world_time_by_api_ninjas##v1_worldtime
ip_geo_location##ip_lookup
weatherapi_com##forecast_weather_api",Which city can be found at coordinates 37.7749 and -122.4194?,2,1,
111,144,geocoding_by_api_ninjas,v1_reversegeocoding,"geocoding_by_api_ninjas##v1_geocoding
weatherapi_com##realtime_weather_api
world_time_by_api_ninjas##v1_worldtime
ip_geo_location##ip_lookup
weatherapi_com##forecast_weather_api",What location corresponds to latitude 40.7128 and longitude -74.0060?,2,1,
112,145,geocoding_by_api_ninjas,v1_reversegeocoding,"geocoding_by_api_ninjas##v1_geocoding
weatherapi_com##realtime_weather_api
world_time_by_api_ninjas##v1_worldtime
ip_geo_location##ip_lookup
weatherapi_com##forecast_weather_api","I am currently at coordinates 22.5736 and 113.8889, what city am I in?",2,1,
113,146,geocoding_by_api_ninjas,v1_reversegeocoding,"geocoding_by_api_ninjas##v1_geocoding
weatherapi_com##realtime_weather_api
world_time_by_api_ninjas##v1_worldtime
ip_geo_location##ip_lookup
weatherapi_com##forecast_weather_api",Can you identify the city with latitude 48.8566 and longitude 2.3522?,2,1,
114,147,geocoding_by_api_ninjas,v1_reversegeocoding,"geocoding_by_api_ninjas##v1_geocoding
weatherapi_com##realtime_weather_api
world_time_by_api_ninjas##v1_worldtime
ip_geo_location##ip_lookup
weatherapi_com##forecast_weather_api",What city is located at latitude 35.6895 and longitude 139.6917?,2,1,
