,Tool,API,Prompt,Type
90,,hotels_search,What are some popular tourist attractions near the hotel I booked in Shenzhen?,1
91,,,Are there any good local restaurants near my hotel in Shenzhen?,1
92,,,Is it common to tip the hotel staff in China?,1
93,,,What is the best way to get from Shenzhen Bao'an International Airport to my hotel?,1
94,,,Can you recommend a hotel with a good gym and spa facilities in Shenzhen?,1
95,,,What should I pack for my trip to Shenzhen in terms of clothing and essentials?,1
96,,,Are there any cultural etiquette tips I should be aware of when staying in a hotel in China?,1
97,,,What is the average cost of a hotel room in Shenzhen per night?,1
98,,,Is it better to book my hotel directly with the hotel or through a third-party website?,1
99,,,Are there any public transportation options near my hotel in Shenzhen?,1
100,,hotels_hotel_detail,"What is the preferred currency in Shenzhen, China?",1
101,,,"What language is commonly spoken in Shenzhen, China?",1
102,,,Is it good practice to tip hotel staff in China?,1
103,,,"What kind of power sockets does China use, and do I need to bring a travel adapter for my devices?",1
104,,,"Can I get a local SIM card for my phone when I arrive in Shenzhen, China?",1
105,,,"What are some local delicacies I must try in Shenzhen, China?",1
106,,,"What are the public transportation options in Shenzhen, China?",1
107,,,"What places of interest should I visit in Shenzhen, China?",1
108,,,"Are credit cards widely accepted in hotels and restaurants in Shenzhen, China?",1
109,,,"What is the local time now in Shenzhen, China?",1
110,,hotels_prices,How can I ask for a discount at the reception when I check in?,1
111,,,What's the purpose of a hotel room deposit?,1
112,,,How can I check if I left something in the hotel room after checking out?,1
113,,,What's the best way to get to the hotel from the airport?,1
114,,,What kind of facilities usually come with a standard hotel room?,1
115,,,How early can I check-in in a hotel?,1
116,,,Can I book a hotel room for others using my ID?,1
117,,,How can I extend my stay in a hotel?,1
118,,,Do I need to tip hotel staff and how much is appropriate?,1
119,,,Can I have visitors in my hotel room?,1
120,,hotels_reviews,"Which part of the year is the off-peak time for travel to Tokyo, Japan?",1
121,,,How do you spot fake hotel reviews?,1
122,,,What is the most common complaint among hotel guests?,1
123,,,"I'm planning for a 3-day tour to New York, which part of the city should I consider for cheaper hotel options?",1
124,,,Is checking the review of the hotel essential before booking?,1
125,,,Is it worth trusting online hotel reviews?,1
126,,,How long in advance do I need to book a hotel for the best rate?,1
127,,,What are some common amenities that good middle-class hotels often provide?,1
128,,,Do all hotels allow pets?,1
129,,,How does an increase in positive hotel reviews impact the hotel's business?,1
130,,hotels_similar_hotels,Is it cheap to stay in a hotel near the airport?,1
131,,,What are some basic amenities to expect when staying in a luxury hotel?,1
132,,,What's the usual check-in and check-out times for hotels in general?,1
133,,,Is it more expensive to travel during the peak tourist season?,1
134,,,Are there any customs that I need to observe when staying in a Ryokan in Japan?,1
135,,,Are pet-friendly hotels common in Europe?,1
136,,,Is it typical for hotels in America to include breakfast in the room rate?,1
137,,,What factors should I consider when choosing a hotel for my family holiday?,1
138,,,Which is generally more affordable: Airbnb or hotel?,1
139,,,How far in advance should I book my hotel for a trip? ,1
140,,hotels_nearby_map,What is the average cost of a hotel room in Shenzhen?,1
141,,,Which hotel in Shenzhen is the best for a business trip?,1
142,,,What is the check-in and check-out time usually for hotels?,1
143,,,How can I find hotels that allow pets?,1
144,,,When is the best time to book a hotel in Shenzhen for getting a good deal?,1
145,,,How can I contact the hotel after finding it on Skyscanner?,1
146,,,Can I reserve a room directly with the hotel after searching for it on Skyscanner?,1
147,,,What is a good hotel etiquette to follow?,1
148,,,Are there any hotels in Shenzhen that offer a shuttle service from the airport?,1
149,,,What are some great restaurants near the hotel I found on Skyscanner in Shenzhen?,1
